Id,Price
725,161362.71779152536
15856,209461.88119813488
5480,281199.69084670465
15664,319106.6587511535
14275,148340.9349791662
7633,208105.10928887242
13329,181672.498365376
5502,233822.44133093656
4220,304651.6861405223
11538,216459.93889475934
15975,271283.5583779461
3310,218496.27657168644
9286,151347.8188190826
11260,191415.39774456847
5214,106452.32333826063
11307,196406.34544057536
13543,379887.35578144557
615,189199.8671955882
3495,226959.3216890209
2321,227029.19509318453
12046,195582.1742646234
16688,138379.76202016394
12694,238187.55498028512
783,151203.24122663718
8968,171038.44470222094
13454,184528.34606999168
12190,237712.97792725617
11160,112852.70271858072
10291,194128.3715550128
891,284150.87930464675
2982,179597.39874674202
3818,282314.3013410197
2449,195676.61863885578
8317,163533.8030743349
4922,186858.50604655282
1257,238070.85086762987
9348,229362.4251704363
4176,179343.65521112303
10704,153733.26878422324
6624,114685.06422345
5428,200376.2482121756
12749,180836.30277941172
8994,214998.53266134695
11513,145086.05871579927
3047,177925.6479033697
9519,210890.2412734536
12309,228410.99642488884
14081,275945.4666303382
8334,266296.63773229043
6343,182792.52038348408
14788,125358.09539716483
15748,369510.06322439504
153,240121.19650944322
14149,190156.37873899864
269,200769.27105411032
5452,133070.9803080411
721,167311.18507253064
5079,322216.10762367526
2831,110536.28750563716
10614,113324.46165811941
10131,268918.6235405285
9996,310021.5572094069
3061,193506.63097627516
11733,307827.5341731382
3726,260736.3300355302
10929,222942.27810683285
9011,352807.70265411737
16182,240980.63263423915
4976,168258.21536121788
9897,248346.6423726194
1872,144903.04345011056
9205,387193.68507382233
5403,384329.1819288167
14074,202072.30238566492
6268,151708.91515419754
14232,161521.68952108503
8532,229751.76616913843
7034,320876.2706271215
6553,474551.2224489228
3133,168062.76048712217
8596,193644.56808702796
12389,253729.4481052324
14462,179060.93038089536
8860,380288.9238036386
8377,304195.93207391555
6367,351291.25972283876
6917,235573.4173502105
4216,196213.36280495606
5806,177425.18204146912
5438,192845.29418242298
6632,207136.83944485814
2650,147075.12337336747
5396,178001.0955960778
4044,152161.91707611727
1345,226847.22331849448
856,180817.3257128849
12791,263349.5473733148
12499,216128.05095449634
12249,128989.18933632509
14641,137526.62040881728
1919,163306.6844224855
7848,193882.57671523528
10749,186332.36700945144
15554,183438.72385222674
15834,209414.17185653214
1355,157677.94714085723
15451,175346.7527771365
12401,213449.74812360393
10290,182308.0071158755
9462,114179.9747296719
3103,243916.73387739292
3420,138682.1930554238
12262,240953.50420999277
5032,143075.51280131994
8949,325957.9988977192
15567,231504.0585513756
16389,157465.4319677222
7809,88281.0480774396
8990,148757.3600174118
16089,277371.40815981524
12743,99038.6620643948
5132,125896.9533561613
1619,259264.87150521483
2428,77489.76113602918
16741,161953.96739176774
13193,215735.44263953378
12588,497058.0983702714
5067,167692.77133792263
14685,125701.17107519446
2292,160647.86199253568
5746,123012.57271046305
12578,163468.51168372622
14834,175853.0067114145
2147,175212.40957134505
8222,130243.48141384363
10419,270807.2377833966
11492,199492.1502187918
3006,211682.00659184856
8761,193518.7972450504
15371,335135.1486085536
16367,160742.14953144302
6317,265270.28827380034
10878,284982.35949633055
3895,159935.90481883797
8041,205757.5905724742
13428,458863.31303655566
14669,157787.6477767098
1006,180370.57528942422
12271,180349.92230453732
3764,388576.1997687984
7675,180635.3418008417
11709,284943.0710825506
8629,138897.02873078585
1105,267603.8531744553
6096,187512.5852191065
11727,214327.10204240982
5157,183871.9932802667
3679,144093.06424002678
1755,122897.69113776169
7391,201596.32655809214
7425,100310.90877063196
6882,397432.58561564056
10752,432306.0151525716
7472,236100.8183848329
